feature,coefficients/importance
categorical_transformer__RoofStyle_Gable,-7841.954174816829
categorical_transformer__RoofStyle_Gambrel,-4920.0280725782395
categorical_transformer__RoofStyle_Hip,-4469.165781374536
categorical_transformer__RoofStyle_Mansard,74.72859326116865
categorical_transformer__RoofStyle_Shed,14339.088619566042
categorical_transformer__RoofMatl_ClyTile,-140943.91567612204
categorical_transformer__RoofMatl_CompShg,19264.830513329707
categorical_transformer__RoofMatl_Metal,4526.032277074269
categorical_transformer__RoofMatl_Roll,8601.605329213922
categorical_transformer__RoofMatl_Tar&Grv,6741.233904386407
categorical_transformer__RoofMatl_WdShake,24319.164547336466
categorical_transformer__RoofMatl_WdShngl,77491.04910474854
categorical_transformer__Exterior1st_AsbShng,-1039.1912895193711
categorical_transformer__Exterior1st_AsphShn,-7686.3034151365355
categorical_transformer__Exterior1st_BrkComm,4001.317180482585
categorical_transformer__Exterior1st_BrkFace,13898.691229184838
categorical_transformer__Exterior1st_CBlock,-105.13357356063716
categorical_transformer__Exterior1st_CemntBd,17669.31435242691
categorical_transformer__Exterior1st_HdBoard,-4441.682947741049
categorical_transformer__Exterior1st_MetalSd,-1460.9577109076793
categorical_transformer__Exterior1st_Plywood,-1243.7494516245104
categorical_transformer__Exterior1st_Stone,2569.23015624835
categorical_transformer__Exterior1st_Stucco,-7523.202407336569
categorical_transformer__Exterior1st_VinylSd,-5147.723084687327
categorical_transformer__Exterior1st_Wd Sdng,-5624.0038103066745
categorical_transformer__Exterior1st_WdShing,-3866.6052275505303
categorical_transformer__Exterior2nd_AsbShng,3018.342669188291
categorical_transformer__Exterior2nd_AsphShn,697.5489136956182
categorical_transformer__Exterior2nd_Brk Cmn,-4358.940218722496
categorical_transformer__Exterior2nd_BrkFace,7257.681979441667
categorical_transformer__Exterior2nd_CBlock,-105.13357356063716
categorical_transformer__Exterior2nd_CmentBd,-19322.99414056883
categorical_transformer__Exterior2nd_HdBoard,727.9946700585589
categorical_transformer__Exterior2nd_ImStucc,20106.76460684773
categorical_transformer__Exterior2nd_MetalSd,1407.0774860027248
categorical_transformer__Exterior2nd_Other,-12380.658703921175
categorical_transformer__Exterior2nd_Plywood,-1720.6701433410235
categorical_transformer__Exterior2nd_Stone,-98.75814053822013
categorical_transformer__Exterior2nd_Stucco,2.142889809142206
categorical_transformer__Exterior2nd_VinylSd,6431.405211442538
categorical_transformer__Exterior2nd_Wd Sdng,1042.7326650307386
categorical_transformer__Exterior2nd_Wd Shng,-2704.5361708898554
categorical_transformer__MasVnrType_BrkCmn,-5751.966679195604
categorical_transformer__MasVnrType_BrkFace,2581.221614265091
categorical_transformer__MasVnrType_N/A,-983.4314247330053
categorical_transformer__MasVnrType_Stone,4154.176489617417
categorical_transformer__ExterQual_Ex,11855.067123001074
categorical_transformer__ExterQual_Fa,3922.635065385122
categorical_transformer__ExterQual_Gd,-7112.57741249478
categorical_transformer__ExterQual_TA,-8665.12477591957
categorical_transformer__ExterCond_Ex,-8188.389700576394
categorical_transformer__ExterCond_Fa,2416.8257661379675
categorical_transformer__ExterCond_Gd,1478.8876779885725
categorical_transformer__ExterCond_Po,3231.5337957359898
categorical_transformer__ExterCond_TA,1061.1424606710946
categorical_transformer__Foundation_BrkTil,-4548.5068558732155
categorical_transformer__Foundation_CBlock,1331.850872483088
categorical_transformer__Foundation_PConc,3092.289245648445
categorical_transformer__Foundation_Slab,-1523.9995292875283
categorical_transformer__Foundation_Stone,318.13974198202175
categorical_transformer__Foundation_Wood,1330.2265249981615
categorical_transformer__BsmtQual_Ex,18677.01947753155
categorical_transformer__BsmtQual_Fa,-2759.3573564349786
categorical_transformer__BsmtQual_Gd,-8538.75265749598
categorical_transformer__BsmtQual_N/A,74.27965848683893
categorical_transformer__BsmtQual_TA,-7453.189122127148
categorical_transformer__BsmtCond_Fa,-8235.260576898912
categorical_transformer__BsmtCond_Gd,-5859.095640537047
categorical_transformer__BsmtCond_N/A,74.27965848683893
categorical_transformer__BsmtCond_Po,15483.981652303897
categorical_transformer__BsmtCond_TA,-1463.9050933978542
categorical_transformer__BsmtExposure_Av,2852.688346682356
categorical_transformer__BsmtExposure_Gd,15994.734029239109
categorical_transformer__BsmtExposure_Mn,-2744.922273918452
categorical_transformer__BsmtExposure_N/A,-9898.639736391306
categorical_transformer__BsmtExposure_No,-6203.860365640436
categorical_transformer__BsmtFinType1_ALQ,626.5761296434121
categorical_transformer__BsmtFinType1_BLQ,-770.7108059617473
categorical_transformer__BsmtFinType1_GLQ,4583.092816643826
categorical_transformer__BsmtFinType1_LwQ,-5189.762096561547
categorical_transformer__BsmtFinType1_N/A,74.27965848683893
categorical_transformer__BsmtFinType1_Rec,-77.6081408573339
categorical_transformer__BsmtFinType1_Unf,754.1324385704747
categorical_transformer__BsmtFinType2_ALQ,3649.1600015659287
categorical_transformer__BsmtFinType2_BLQ,-4145.019415507423
categorical_transformer__BsmtFinType2_GLQ,5127.12971267829
categorical_transformer__BsmtFinType2_LwQ,-4085.3042289436676
categorical_transformer__BsmtFinType2_N/A,2626.791315706715
categorical_transformer__BsmtFinType2_Rec,-3010.2570754603726
categorical_transformer__BsmtFinType2_Unf,-162.50031007871263
categorical_transformer__Heating_Floor,4600.759322188993
categorical_transformer__Heating_GasA,1486.72416202781
categorical_transformer__Heating_GasW,8095.779291386482
categorical_transformer__Heating_Grav,-868.7810018671332
categorical_transformer__Heating_OthW,-15806.775324248732
categorical_transformer__Heating_Wall,2492.293550473894
categorical_transformer__HeatingQC_Ex,3467.534401678751
categorical_transformer__HeatingQC_Fa,-1612.8347985997889
categorical_transformer__HeatingQC_Gd,-2451.7921018663264
categorical_transformer__HeatingQC_TA,597.0924987287207
categorical_transformer__CentralAir_N,1381.4225429098963
categorical_transformer__CentralAir_Y,-1381.422542955079
categorical_transformer__Electrical_FuseA,-248.24947798026443
categorical_transformer__Electrical_FuseF,-1302.4690482527617
categorical_transformer__Electrical_FuseP,2435.4630577560674
categorical_transformer__Electrical_Mix,4071.5451715812674
categorical_transformer__Electrical_SBrkr,-4956.28970314546
categorical_transformer__KitchenQual_Ex,13764.50768004765
categorical_transformer__KitchenQual_Fa,577.2774115853256
categorical_transformer__KitchenQual_Gd,-7780.237227061565
categorical_transformer__KitchenQual_TA,-6561.547864609008
categorical_transformer__Functional_Maj1,2849.599906104457
categorical_transformer__Functional_Maj2,-5210.970014466382
categorical_transformer__Functional_Min1,2385.614771864563
categorical_transformer__Functional_Min2,772.1191083198646
categorical_transformer__Functional_Mod,-371.46380778952425
categorical_transformer__Functional_Sev,-14631.11174670339
categorical_transformer__Functional_Typ,14206.211782626218
categorical_transformer__FireplaceQu_Ex,9031.597576633128
categorical_transformer__FireplaceQu_Fa,-6121.548247635161
categorical_transformer__FireplaceQu_Gd,-3855.457984230011
categorical_transformer__FireplaceQu_N/A,11409.315992366073
categorical_transformer__FireplaceQu_Po,-7564.066504980089
categorical_transformer__FireplaceQu_TA,-2899.8408321881784
categorical_transformer__GarageType_2Types,-3669.4306437795485
categorical_transformer__GarageType_Attchd,233.1746536965175
categorical_transformer__GarageType_Basment,2609.2000476795965
categorical_transformer__GarageType_BuiltIn,7849.430271140707
categorical_transformer__GarageType_CarPort,-6534.787178472643
categorical_transformer__GarageType_Detchd,3303.124184568013
categorical_transformer__GarageType_N/A,-3790.711334896111
categorical_transformer__GarageFinish_Fin,2125.3110585070444
categorical_transformer__GarageFinish_N/A,-3790.711334896111
categorical_transformer__GarageFinish_RFn,-361.7206637563584
categorical_transformer__GarageFinish_Unf,2027.1209401160843
categorical_transformer__GarageQual_Ex,6976.343055107626
categorical_transformer__GarageQual_Fa,-2365.9119059946183
categorical_transformer__GarageQual_Gd,4574.308388556016
categorical_transformer__GarageQual_N/A,-3790.711334896111
categorical_transformer__GarageQual_Po,-8810.383818388182
categorical_transformer__GarageQual_TA,3416.3556155770016
categorical_transformer__GarageCond_Ex,6976.343055107626
categorical_transformer__GarageCond_Fa,-3819.85503928563
categorical_transformer__GarageCond_Gd,4768.999321617383
categorical_transformer__GarageCond_N/A,-3790.711334896111
categorical_transformer__GarageCond_Po,-5397.768392776068
categorical_transformer__GarageCond_TA,1262.9923901936347
categorical_transformer__PavedDrive_N,1874.6045711232603
categorical_transformer__PavedDrive_P,-3362.8622746526894
categorical_transformer__PavedDrive_Y,1488.2577034864717
categorical_transformer__PoolQC_Ex,101147.06254703682
categorical_transformer__PoolQC_Fa,-16890.992151604427
categorical_transformer__PoolQC_Gd,-84011.95915622676
categorical_transformer__PoolQC_N/A,-244.11123922455766
categorical_transformer__Fence_GdPrv,-1209.7155613571892
categorical_transformer__Fence_GdWo,2264.9342376459153
categorical_transformer__Fence_MnPrv,4939.966733246372
categorical_transformer__Fence_MnWw,-6864.273810765944
categorical_transformer__Fence_N/A,869.0884011854907
categorical_transformer__MiscFeature_Gar2,1448.2785914484693
categorical_transformer__MiscFeature_N/A,-4007.3394194101775
categorical_transformer__MiscFeature_Othr,7278.330557654888
categorical_transformer__MiscFeature_Shed,12171.722421871185
categorical_transformer__MiscFeature_TenC,-16890.992151604427
categorical_transformer__SaleType_COD,-5691.433972909598
categorical_transformer__SaleType_CWD,-13507.251986174888
categorical_transformer__SaleType_Con,14800.404055942217
categorical_transformer__SaleType_ConLD,15459.184581558766
categorical_transformer__SaleType_ConLI,-1851.5115710536916
categorical_transformer__SaleType_ConLw,-9898.632969992204
categorical_transformer__SaleType_New,13533.081844838993
categorical_transformer__SaleType_Oth,-2442.597456235533
categorical_transformer__SaleType_WD,-10401.24252601522
categorical_transformer__SaleCondition_Abnorml,-8485.574153021327
categorical_transformer__SaleCondition_AdjLand,6430.556905010797
categorical_transformer__SaleCondition_Alloca,14110.333435516653
categorical_transformer__SaleCondition_Family,-6406.056844469259
categorical_transformer__SaleCondition_Normal,2266.4736385389806
categorical_transformer__SaleCondition_Partial,-7915.7329816161555
