feature,coefficients/importance
categorical_transformer__RoofStyle_Gambrel,-1615.1445073432471
categorical_transformer__RoofStyle_Hip,25.041289017351698
categorical_transformer__RoofStyle_Mansard,3633.447300065902
categorical_transformer__RoofStyle_Shed,37983.69892494845
categorical_transformer__RoofMatl_ClyTile,-560121.5211291282
categorical_transformer__RoofMatl_CompShg,-8801.128428946085
categorical_transformer__RoofMatl_Metal,9103.861503861524
categorical_transformer__RoofMatl_Roll,-15165.256832866331
categorical_transformer__RoofMatl_Tar&Grv,-13420.559851648926
categorical_transformer__RoofMatl_WdShake,3377.436524956005
categorical_transformer__RoofMatl_WdShngl,63892.82454781021
categorical_transformer__Exterior1st_AsbShng,2980.5828228355617
categorical_transformer__Exterior1st_AsphShn,-14329.917550072323
categorical_transformer__Exterior1st_BrkComm,22378.711148430055
categorical_transformer__Exterior1st_BrkFace,18200.196756554207
categorical_transformer__Exterior1st_CBlock,2441.2413169788742
categorical_transformer__Exterior1st_CemntBd,32614.078005368337
categorical_transformer__Exterior1st_HdBoard,-304.49577333656885
categorical_transformer__Exterior1st_MetalSd,1550.8641724176139
categorical_transformer__Exterior1st_Plywood,1108.2993528646464
categorical_transformer__Exterior1st_Stone,4710.711282372683
categorical_transformer__Exterior1st_Stucco,2926.5059033713355
categorical_transformer__Exterior1st_VinylSd,-2690.1058273475437
categorical_transformer__Exterior1st_Wd Sdng,-3942.926442311459
categorical_transformer__Exterior1st_WdShing,34.44943294134554
categorical_transformer__Exterior2nd_AsbShng,1319.4311623766275
categorical_transformer__Exterior2nd_AsphShn,8354.761077686157
categorical_transformer__Exterior2nd_Brk Cmn,-15921.018075099459
categorical_transformer__Exterior2nd_BrkFace,3119.3671915125296
categorical_transformer__Exterior2nd_CBlock,121.07854045014868
categorical_transformer__Exterior2nd_CmentBd,-34906.96383659371
categorical_transformer__Exterior2nd_HdBoard,-3328.703338394051
categorical_transformer__Exterior2nd_ImStucc,1751.40224592322
categorical_transformer__Exterior2nd_MetalSd,-1966.4215532185267
categorical_transformer__Exterior2nd_Other,-36129.667251380815
categorical_transformer__Exterior2nd_Plywood,-5977.969936020077
categorical_transformer__Exterior2nd_Stone,-2918.700892149302
categorical_transformer__Exterior2nd_Stucco,5188.477454524966
categorical_transformer__Exterior2nd_VinylSd,2537.3172722498225
categorical_transformer__Exterior2nd_Wd Sdng,342.99137868926334
categorical_transformer__Exterior2nd_Wd Shng,-4977.062558769383
categorical_transformer__MasVnrType_BrkCmn,-5029.056589572617
categorical_transformer__MasVnrType_BrkFace,2595.6618052860645
categorical_transformer__MasVnrType_N/A,-2178.6740807302576
categorical_transformer__MasVnrType_Stone,5169.600282749561
categorical_transformer__ExterQual_Ex,22756.60291024292
categorical_transformer__ExterQual_Fa,9860.463030613799
categorical_transformer__ExterQual_Gd,-957.0371175920266
categorical_transformer__ExterQual_TA,-4.487724242472362
categorical_transformer__ExterCond_Ex,-14777.685057134237
categorical_transformer__ExterCond_Fa,-1003.7148680602988
categorical_transformer__ExterCond_Gd,73.29950209559995
categorical_transformer__ExterCond_Po,26352.48936335297
categorical_transformer__ExterCond_TA,0.0
categorical_transformer__Foundation_BrkTil,-7726.582675049948
categorical_transformer__Foundation_CBlock,-1342.9882959567021
categorical_transformer__Foundation_PConc,1257.7635938037567
categorical_transformer__Foundation_Slab,-2947.0759601994187
categorical_transformer__Foundation_Stone,1917.0590151928652
categorical_transformer__Foundation_Wood,-6103.646599774766
categorical_transformer__BsmtQual_Ex,21085.52788375539
categorical_transformer__BsmtQual_Fa,1995.3276887339255
categorical_transformer__BsmtQual_Gd,-3068.6659354341887
categorical_transformer__BsmtQual_N/A,21507.379933058564
categorical_transformer__BsmtQual_TA,-1078.9566013583485
categorical_transformer__BsmtCond_Fa,-6133.109963155368
categorical_transformer__BsmtCond_Gd,-4417.110103985963
categorical_transformer__BsmtCond_N/A,0.0
categorical_transformer__BsmtCond_Po,61493.06680932017
categorical_transformer__BsmtCond_TA,0.0
categorical_transformer__BsmtExposure_Av,6641.810298843249
categorical_transformer__BsmtExposure_Gd,22108.493308818648
categorical_transformer__BsmtExposure_Mn,1301.5458106932858
categorical_transformer__BsmtExposure_N/A,-14270.081299749972
categorical_transformer__BsmtExposure_No,-1318.0174663074663
categorical_transformer__BsmtFinType1_ALQ,-336.5949704618727
categorical_transformer__BsmtFinType1_BLQ,2.0921289307864384
categorical_transformer__BsmtFinType1_GLQ,4721.865642707764
categorical_transformer__BsmtFinType1_LwQ,-6614.005975911489
categorical_transformer__BsmtFinType1_N/A,16820.459803524416
categorical_transformer__BsmtFinType1_Rec,-1706.952146078442
categorical_transformer__BsmtFinType1_Unf,-223.26847301442874
categorical_transformer__BsmtFinType2_ALQ,15253.596772363466
categorical_transformer__BsmtFinType2_BLQ,5609.914773875696
categorical_transformer__BsmtFinType2_GLQ,19339.000134994545
categorical_transformer__BsmtFinType2_LwQ,6536.751008723766
categorical_transformer__BsmtFinType2_N/A,-3585.4355525015153
categorical_transformer__BsmtFinType2_Rec,6581.57709200833
categorical_transformer__BsmtFinType2_Unf,-2757.6859540939254
categorical_transformer__Heating_Floor,6132.4969823883985
categorical_transformer__Heating_GasA,-1225.2666691415873
categorical_transformer__Heating_GasW,3720.3407758380254
categorical_transformer__Heating_Grav,-3709.1352383549392
categorical_transformer__Heating_OthW,-15659.950064896855
categorical_transformer__Heating_Wall,1245.5515852093874
categorical_transformer__HeatingQC_Ex,4103.96312433313
categorical_transformer__HeatingQC_Fa,-1274.5999915035636
categorical_transformer__HeatingQC_Gd,-1746.103131902312
categorical_transformer__HeatingQC_TA,854.8334753182398
categorical_transformer__CentralAir_N,2972.800777216807
categorical_transformer__CentralAir_Y,-0.0
categorical_transformer__Electrical_FuseA,4702.834188361336
categorical_transformer__Electrical_FuseF,2538.6344456554516
categorical_transformer__Electrical_FuseP,-434.1095546854266
categorical_transformer__Electrical_Mix,-11591.077866643216
categorical_transformer__Electrical_SBrkr,0.0
categorical_transformer__KitchenQual_Ex,19067.844838302284
categorical_transformer__KitchenQual_Fa,6874.560870963762
categorical_transformer__KitchenQual_Gd,-993.5342511114798
categorical_transformer__KitchenQual_TA,-0.0
categorical_transformer__Functional_Maj1,-6128.874775778211
categorical_transformer__Functional_Maj2,-11620.824713885746
categorical_transformer__Functional_Min1,-543.0314942325193
categorical_transformer__Functional_Min2,-3130.467882472255
categorical_transformer__Functional_Mod,-11747.922693131986
categorical_transformer__Functional_Sev,-34211.59634077105
categorical_transformer__Functional_Typ,7972.82621690229
categorical_transformer__FireplaceQu_Ex,2302.3596101665594
categorical_transformer__FireplaceQu_Fa,-11689.444438827617
categorical_transformer__FireplaceQu_Gd,-7108.638351028297
categorical_transformer__FireplaceQu_N/A,10738.239108855876
categorical_transformer__FireplaceQu_Po,-8834.54750464591
categorical_transformer__FireplaceQu_TA,-6981.530750518797
categorical_transformer__GarageType_2Types,-2281.789272948568
categorical_transformer__GarageType_Attchd,5416.485687976312
categorical_transformer__GarageType_Basment,9319.400225179228
categorical_transformer__GarageType_BuiltIn,12976.65384796134
categorical_transformer__GarageType_CarPort,2683.627518928787
categorical_transformer__GarageType_Detchd,9284.17388434411
categorical_transformer__GarageType_N/A,-47127.48383488271
categorical_transformer__GarageFinish_Fin,464.0531123658075
categorical_transformer__GarageFinish_N/A,-0.0
categorical_transformer__GarageFinish_RFn,-2089.9233062820185
categorical_transformer__GarageFinish_Unf,660.7928877796576
categorical_transformer__GarageQual_Ex,9563.669746277305
categorical_transformer__GarageQual_Fa,-1711.674756186603
categorical_transformer__GarageQual_Gd,-1424.6243264775205
categorical_transformer__GarageQual_N/A,-0.0
categorical_transformer__GarageQual_Po,-26620.0534233151
categorical_transformer__GarageQual_TA,2247.087645516407
categorical_transformer__GarageCond_Ex,2165.838413530713
categorical_transformer__GarageCond_Fa,-5838.061947108801
categorical_transformer__GarageCond_Gd,-2776.0412537386346
categorical_transformer__GarageCond_N/A,0.0
categorical_transformer__GarageCond_Po,337.80632290093286
categorical_transformer__GarageCond_TA,-0.0
categorical_transformer__PavedDrive_N,1446.9731007636262
categorical_transformer__PavedDrive_P,-6044.846510271142
categorical_transformer__PavedDrive_Y,-0.0
categorical_transformer__PoolQC_Ex,243876.76734394024
categorical_transformer__PoolQC_Fa,-33000.78248072323
categorical_transformer__PoolQC_Gd,50962.883093794415
categorical_transformer__PoolQC_N/A,-7223.345017455113
categorical_transformer__Fence_GdPrv,-6261.82981206086
categorical_transformer__Fence_GdWo,1743.7479406181376
categorical_transformer__Fence_MnPrv,2467.6163468106815
categorical_transformer__Fence_MnWw,-9631.60657875989
categorical_transformer__Fence_N/A,-0.0
categorical_transformer__MiscFeature_Gar2,-6725.055296786672
categorical_transformer__MiscFeature_N/A,-19919.548491000787
categorical_transformer__MiscFeature_Othr,4167.743417796981
categorical_transformer__MiscFeature_Shed,4770.2707783468995
categorical_transformer__MiscFeature_TenC,-0.0
categorical_transformer__SaleType_COD,2202.5586540990817
categorical_transformer__SaleType_CWD,-17681.558042844423
categorical_transformer__SaleType_Con,37105.9288816096
categorical_transformer__SaleType_ConLD,29329.6401832702
categorical_transformer__SaleType_ConLI,4714.980053930826
categorical_transformer__SaleType_ConLw,-8328.125626148376
categorical_transformer__SaleType_New,27151.294532563068
categorical_transformer__SaleType_Oth,723.5759389317875
categorical_transformer__SaleType_WD,-3562.424934211609
categorical_transformer__SaleCondition_Abnorml,-3342.9016430844067
categorical_transformer__SaleCondition_AdjLand,19908.511408185295
categorical_transformer__SaleCondition_Alloca,10284.626437960571
categorical_transformer__SaleCondition_Family,-1300.4552598507662
categorical_transformer__SaleCondition_Normal,7688.26715605817
categorical_transformer__SaleCondition_Partial,-7590.0913473863775
